long_rvol,long_body,short_dist,short_rsi,atr_mult_sl,atr_mult_tp,balance,drawdown,win_rate,trades,score
2.2,0.4,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,3.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,3.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,3.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.4,3.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,1.2,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,1.2,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,1.2,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,1.2,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,3.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,3.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,3.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.8,3.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.8,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.8,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.8,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,0.8,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,1.2,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,1.2,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,1.2,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.2,1.2,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,3.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,3.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,3.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,3.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.8,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,3.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,3.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,3.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,1.2,3.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,3.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,3.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,3.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
1.8,0.4,3.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.4,4.0,75,2.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.4,4.0,75,2.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.4,4.0,75,3.5,5.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
2.6,0.4,4.0,75,3.5,8.0,688.2239260684231,62.60489688285269,42.98245614035088,114,-2.106897751608109
